If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Chrome OS now has Material Design for the desktop,Elastic Stack 5.0.0 Released,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br",A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',"Hello, a nova rede social do Orkut, está liberada no Brasil",Anti-If: The missing patterns
Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Clean Coder Blog,Pull request first - Practical Blend,Google may be considering Swift for use on Android,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise",Cubr
Livraria dá adeus a estoque e imprime livros na hora,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,The barbell effect of machine learning.,Governo brasileiro cria manual para contratação de cloud,"No, Apple isn't the next BlackBerry - it's the next Microsoft","Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack"
"Apple's new file manager, APFS, is awesome",A New Number Format for Computers Could Nuke Approximation Errors for Good,The End Of Apple Man,CSS Containment in Chrome 52 | Web Updates - Google Developers,19 Tips For Everyday Git Use,"No ano em que a Apple completa 40 anos, confira a evolução do iPhone"
Confirmed: Walmart buys Jet.com for $3B in cash,Nintendo has doubled in value since Pokémon Go's release,How enterprise architects can help ensure success with digital transformations,The Internet of Things is looking for its VisiCalc,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Two Different Sales Motions . . . .
We are on the verge of a consumer M&A avalanche,Innovation is in all the wrong places,This Super Accurate Portrait Selection Tech Uses Neural Networks,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,"Telecoms open shop on Madison Avenue, but will brands buy?",Google cloud boss Diane Greene: We're winning against AWS and Microsoft
Google's Cloud Machine Learning service is now in public beta,Machine Learning Is No Longer Just for Experts,Spark comparison: AWS vs. GCP,Algorithms and architecture for job recommendations,Scala is the new golden child,"The ""Joel Test"" for Data Science"
Xamarin for Everyone,Modelando APIs REST com Swagger,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",The Ultimate Solution to Versioning REST APIs: Content Negotiation,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Learn Hiragana: The Ultimate Guide
Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Governo define cronograma para plano nacional de Internet das Coisas,Goodbye accountants! Startup builds AI to automate all your accounting,Itaú é pioneiro do blockchain,Starbucks tem mais dinheiro do cliente em cartões do que bancos,Mobile banking conquista o coração dos brasileiros
Berners-Lee quer criar outra Web,Clean Coder Blog,Programming by poking: why MIT stopped teaching SICP,Anti-If: The missing patterns,New MacBook Pro is not a Laptop for Developers Anymore,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão
